Date,Solde budgétaire,Total dépenses nettes du budget général,Dotation des pouvoirs publics,Dépenses de personnel,Dépenses de fonctionnement,Charges de la dette de l’Etat,Dépenses d’investissement,Dépenses d’intervention,Dépenses d’opérations financières,Total prélèvements sur recettes,PSR au profit des collectivités territoriales,PSR au profit de l'Union européenne,Total recettes nettes du budget général,Total recettes fiscales,Impôt sur le revenu,Impôt sur les sociétés,Taxe intérieure de consommation sur les produits énergétiques,Taxe sur la valeur ajoutée,Autres recettes fiscales,Total recettes non fiscales,Solde des comptes spéciaux,CCF Avances aux collectivités territoriales,Solde des Budgets annexes,Remboursements et dégrèvements d'impôts d'Etat,Remboursements et dégrèvements d'impôts locaux,Fonds de concours et attribution de produits
31/01/2013,-12817067246.53,25812049491.84,991265739.0,10710235456.84,5209251831.14,1840583729.85,1639983228.25,5343857260.91,76872245.85,6327371971.81,3511202726.69,2816169245.12,21835693837.17,21599715639.02,3837975213.45,375787357.98,742512169.17,14410347382.81,2233093515.61,235978198.15,-2591054038.01,-4706066710.81,0.0,4167986560.36,143394997.53,77714417.96
28/02/2013,-27121319640.85,49992205837.16,991265739.0,20881247369.23,8878296712.17,2595167158.7,2178540228.22,14222550168.8,245138461.04,14415492436.66,7218419924.08,7197072512.58,43911059394.4,43381013488.66,14295069342.64,219353236.48,1572918558.54,24550457549.06,2743214801.94,530045905.74,-6788209398.59,-8816604277.67,0.0,9947593264.4,861853825.01,163528637.16
31/03/2013,-31026174393.01,70405272907.96,991265811.88,31090901787.21,13472798467.38,2601395372.46,3061406695.19,18507992071.44,679512702.4,19842657432.76,10991259275.43,8851398157.33,69047518685.46,67978369986.08,18593991345.23,9320361859.51,2518689521.0,33622163249.94,3923164010.40001,1069148699.38,-10403726386.51,-13793610994.57,0.0,15502165109.41,1062554761.03,577963648.76
30/04/2013,-66772727316.58,115152105905.79,991265811.88,40932943040.3,23691882153.3,19664732704.71,3969991861.15,25161154235.43,740136099.02,25297447319.19,14791553006.36,10505894312.83,90097733507.24,88364318941.61,22479281324.31,11538177221.81,3740399326.92,44709321883.08,5897139185.49,1733414565.63,-17158528785.6,-18561420003.73,0.0,26161522933.2,1342425679.38,737621186.76
31/05/2013,-72639016884.44,134984866261.1,991265852.38,50818493756.44,26877179846.17,19898232809.12,5166472257.13,30443080696.92,790141042.94,34373811659.56,22213515020.98,12160296638.58,116257148234.03,112775247536.96,33204976914.73,10053328793.87,4891886468.04,56365534294.77,8259521065.55002,3481900697.07,-20850372706.09,-22572090644.25,0.0,32826736296.2,2008037656.53,1312885508.28
30/06/2013,-59314266812.14,155132439209.83,991265852.38,61382958097.25,29842158215.85,19915999542.96,5665848023.11,36208868390.28,1125341088.0,41074063157.75,27259286121.38,13814777036.37,151082084576.08,145589722313.0,37361115059.22,21540813679.54,5902933939.41,66538634412.75,14246225222.08,5492362263.08,-15762313211.37,-18288089248.47,0.0,39033611865.19,2729923656.46,1572464190.73
31/07/2013,-80820222556.9801,187655795416.86,991265852.38,71356546286.06,37604332590.58,28063268300.3,7320377707.74,41107751498.54,1212253181.26,47795257467.99,32326049552.55,15469207915.44,174425272315.15,166633533297.93,40733314740.78,23306137088.85,7216686687.03,78360641542.7,17016753238.57,7791739017.22,-21817273027.11,-24240384405.37,0.0,46204206317.29,3204455739.78,2022831039.83
31/08/2013,-93612206375.68,203583972445.46,991275385.38,81167258946.7,39627810830.17,28197981273.31,8046297575.51,44325217128.29,1228131306.1,53950028480.39,36812590863.16,17137437617.23,188360115300.7,180273769833.43,40908000726.59,23195870995.0,8294917737.3,89503409572.74,18371570801.8,8086345467.27,-26889327547.09,-29448877242.8,0.0,53724057258.55,3525170443.79,2451006796.56
30/09/2013,-80830970452.43,222768851979.99,991276385.38,90676007721.54,41269677239.79,28423564064.65,8394719220.42,51779718039.05,1233889309.16,60043283865.01,41250207196.1,18793076668.91,223300480091.45,214690669649.83,51324090335.57,33984661097.48,9360202399.3,100120811381.67,19900904435.8099,8609810441.62,-23946792053.65,-26636223793.37,0.0,58148647723.74,6336159818.77,2627477354.77
31/10/2013,-86048060347.6299,259902205463.24,991268136.88,100566985163.43,48631914532.63,44544992866.57,8678927967.5,55146819089.44,1341297706.79,65617658235.58,45942231465.35,19675426770.23,241424919290.63,232355699631.07,57990452659.98,33967255495.36,10546926747.08,112267476582.98,17583588145.6701,9069219659.56,-4971359739.82999,-3200733779.37999,0.0,63975861465.22,10842192010.28,3018243800.39
